Started log on 2024-09-04 20:06:44Thermocouple,mV	ThermistorV,V	ThermistorR,Ω	Flux,W/m²	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
0.000000	0.000000	0.000000	1665.781494	
